1342199291 |  408 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |    3.35525 | Sat Jun 26 08:49:48 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | small  |     | pointed                       | Calibration_rppacs_27    |  2133 |   1  | 
1342199292 |  408 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |    3.35569 | Sat Jun 26 09:35:10 2010 UTC | Range | Nyquist     | SED B3A | chopNod   | small  |     | pointed                       | Calibration_rppacs_27    |  3041 |   1  | 
1342199293 |  408 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |    3.35553 | Sat Jun 26 10:11:13 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | medium |     | pointed                       | Calibration_rppacs_27    |  1125 |   1  | 
1342199294 |  408 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |    3.35583 | Sat Jun 26 10:41:41 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | medium |     | pointed                       | Calibration_rppacs_27    |  2373 |   1  | 
1342199295 |  408 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |    3.35633 | Sat Jun 26 11:27:09 2010 UTC | Range | Nyquist     | SED B3A | chopNod   | medium |     | pointed                       | Calibration_rppacs_27    |  3047 |   1  | 
1342199296 |  408 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |    3.35615 | Sat Jun 26 12:03:16 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | large  |     | pointed                       | Calibration_rppacs_27    |  1253 |   1  | 
1342199297 |  408 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |    3.35642 | Sat Jun 26 12:33:48 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | large  |     | pointed                       | Calibration_rppacs_27    |  2377 |   1  | 
1342199298 |  408 | ISOPHOT Dark Field   |     |  17:49:10.00 |  69:48:26.00 |    3.35690 | Sat Jun 26 13:19:20 2010 UTC | Range | Nyquist     | SED B3A | chopNod   | large  |     | pointed                       | Calibration_rppacs_27    |  3051 |   1  | 
1342199412 |  412 | HD97048              |     |  11:08:03.32 | -77:39:17.50 |  -17.96294 | Wed Jun 30 03:48:23 2010 UTC | Range | Nyquist     | SED B2A | chopNod   | small  |     | pointed                       | KPOT_nevans_1            |  6777 |   1  | SED B2A 102.00-146.00 x6 
1342199413 |  412 | HD97048              |     |  11:08:03.32 | -77:39:17.50 |  -17.94000 | Wed Jun 30 06:00:42 2010 UTC | Range | Nyquist     | SED B2B | chopNod   | small  |     | pointed                       | KPOT_nevans_1            |  9065 |   1  | SED B2B 140.00-220.00 x4 
